decoded_emojis,rating
البرنامج ما فيو دولة تركية كيف رح اطلب انا في تركية,-1
بصراحه التعليقات تؤمن اوي,-1
تطبيق فاشل وخدمة عملاء فاشلة لا تحل مشكلة العملاء,-1
‎​لو يغضبوا استخدمتي اسالتكحاولت ازاى استخدم البروموكود وانا المعادن الجديدة فين محطة,0
ليش مافي منطقه الحفرة ويوم اكتب مريضي مافيها مطاعم والمصنعه ماشي,1
انا بجدار الحريات في توصيل,0
بعض المطاعم تتاخر بالطلبات اكثر بكثير من الوقت المحدد لا رجل متابعة التفاصيل عشان سمعت البرنامج,1
رائع جدا خدمة ممتازة وسرعة في التوصيل,1
يمل,1
الصراحة السائقين اغلبهم قليلين الادب وفي واحد شال فلوس زيادة وكل مااتصل عليه يقول برج وارجع شي,-1
ےیک ھگءکھفسَپء desert island desert desert island desert desert island desert beach with umbrella beach with umbrella camping camping japanese dolls japanese dolls moon viewing ceremony japanese dolls,-1
ايس صراحة البرنامج وماهو محاطين منطقة نيران,-1
بالاول كان ممتاز وطول ترسلوا كود خصم او بطاقات شرائية....اخر مرة ارسلتولي كان رمضان شو السبب,-1
رائع جدا هو أشكر على وجود هذا التطبيق الأكثر من رائع,1
فين دعم الكابتن فين هو الابلكيشن التابع له,1
"ممتاز بمعنى الكلمة,,",1
خدمت توصل ممتازه check mark,1
اسوء تطبيق في العراق يتاخر لساعات اغلب دراجات التوصيل تلغي الطلب وتبقى تنتظر من اسوء التجارب الي جربتها,-1
للاسف فيه وسيله من وسائل النصب الجديده zagazig المفروض ان دا كود خصم جنيه داخل الزقازيق بعد ما بعمله ويقول انه تم قبوله هوب دبل كيك تلاقي الاوردر قيمته العاديه face with tears of joy شكل عن النصب الجديد face with tears of joy face with tears of joy face with tears of joy,-1
لأنهم زورو للحساب,-1
تعامل ضربه,-1
جميل جدا ناس,1
والله احلى شئ انا طلبت كذا مره هو الله الأكل كله وصل,1
بيحوطو اسعار غير الاعلان,-1
تجربها,1
ممتازة وعروض حلوة,1
حجزت اون لاين القاهرة حقنا بمبلغ جنيه بعد الخصم بعملي لوكيشن المكان والتوقيت ورقم للمتابعة رد عليا بعد محاولات كتير وقال مفيش حجز بأسمي وحجزلي مكان تاني بمبلغ جنيه وفي الاخر الباص مجال في الميعاد. طبعا حذفت التطبيق من التليفون,-1
التطبيق كتير ممتاز red heart red heart,1
موقع ممتاز .. ولكن هناك ملاحظه في حال الطفل والدفع اكثر المطاعم عدم الالتزام بالوقت المحدد . وفي حال عدم الدفع يتم الوصول قبل الموعد .,1
يا ريت لو تحددوا موقع المطعم,1
مفيش لغة عربية فى الابلكيشن ومش فاهم شغال ازاى,-1
تطبيق فاشل ما فيه كل وجبات kfc,-1
كود وهمى احتيال,-1
ياريت مايطلقون الرقم الهاتف,1
خدمه ممتازه smiling face with open hands,1
التطبيق مش يفتح هو بيدي خطأ علي موبايل سامسونج m,-1
hi good job,1
شركة ظالمة بحق ساقيها لا انصح بتجربة التطبيق ابدآ,-1
احب كذا,1
فاشل يتأخر في إحضار الطعام,-1
ماتشاء الله كثير استفدت red heart heart suit,1
مجاني قسيمة خصم ب. دينار ولما اطلب بهم كود القديمه وما في كود شو الحل يومين وتخلص عرض القديمه,-1
نظام سئ جدا جدا جدا جدا جدا جدا جدا ولا احب ان يظهر اعلانات لكم على تليفوني نهائيا,-1
تطبيق سئ جدا والدى كانوا عاجزين مصيف هو حجزوا الرحله قبلها به ايام وقبل السفر بنص ساعه اجل الرحله نص ساعه في نص ساعه والاخر لغتها,-1
لسا منزل التطبيق بطلب ودخل الكون بتاع الخصم وبقولي هاذا الكود عند الطلب اول مرة فقط ولله لسا منزل البرنامج دلوقتي بس انا فهمت سياسة البرنامج ايا حد يدخل الكود يلي هما حاطينو كان بقا اول اود ولا عاشر موردر يقولولة ده مش اول طلب شركة غرامية كذابين لو مش قد العرض متنزلوش بيشتغلو الناس,-1
فى العظمى الاسكندرية سئ جدا اليوم تم تغير موعد الحجز بثلاثة مواعيد مختلفه دون الرجوع الى مفيش ثابت على ميعاد ولا باص,-1
كل شي مضبوط,1
ممتاز جدا هو توصيل اسرع وفر على نفسك عبئ المسافه,1
تشتت,1
كوبون الخصم لا يظهر عندي عندما اقوم بطلب موردر,-1
خدمة سيئة سويت طلب مرتين ولا في اي تجاوب .. برنامج هنقرستيشن افضل منه سريعين بتأكيد الطلبات التوصيل,-1
توني شايف اعلان علىmbcدراما,1
متوسط,0
التطبيق يساعدك على طلب اي شيئ,1
منتجع,0
من الأخر خدمه سريعه,1
جيد جدا ؟!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1
الرحلات قلت هو أسعار الرحلات أصبحت غاليه قوي,1
سيا لديه,-1
تطبيق جميل يحضرني كل ما احتاجه من غير مجروح أشتري الطعام,1
ممتاز جدا أنجح من غيره كتغيير,1
انهو جيد وا يوفر عليك الكثير من الوقت ولاكن سيصبح افضل لو كان به العربيه,1
من سيء الى الاسوء,-1
مبقاش فيه توصيل مجاني ليه ؟,-1
purple heart purple heart,1
من اقول المواقع,1
مره خيال روعه مب زي هنجرستيشن ساعات ذاك اليوم بس طلبات ساعه عل اقل عادي بس هنجرستيشن لا,1
البرنامج مره حلو انا من الدماء من اطلب يوصل بسرعه,1
بعد ما طلبت بنص ساعه يقول آسف مشغول ومافيه توصيل,-1
احبه وااااايد,1
مافي ماك,-1
انا عايز احجز ميترو باص خاص معارف,1
اصبح فاشل بشكل لايطاق المطاعم مستهتر بالعميل تتاخر بالطلب يلغى بلا سبب .. طلبات فاشلة,-1
غالي جدا والله التوصيل بعد اتمنى تقليل الأسعار لكنه جيد,-1
سئ جدا. angry face angry face,-1
انا الصراحة يعجبني لكن مصادري وش رايكم فيه,1
واضح من التعليقات انها بداية فاشلة,-1
يعني,0
خدمه متميز ومواعيد مربوطه وكابتن محترف,1
بصراحة يفوز بأفضل برنامج سهل وخدمة سريعة,1
تجربه جميله خيار التقييم رائع... لكن لدي اقتراح وضع قائمة ساهم في الخير لوحدها وليس من ضمن تصنيف الطعام,1
برنامج محترم تحفه,1
ممتاز وعروض توفيرية,1
اطلب كان احسن بكثير وكان فيه ديما خصومات,-1
كان التطبيق بالاول كويس بس هلأ اصلا مش راضي يفتح عندي,-1
ممتاز فعلا ومن نجاح لنجاح shaved ice thumbs up,1
الاكل بوصل بارد بس فعلت خدمه طلبات ديلڤري,-1
برنامج جميل جدا .. يجعل مجموعة كبيرة جدا من المطاعم بين يديك,1
سهولة في طلب الطعام وتوفير الوقت والجهد الشكر الخالص لكم انصح الجميع بتنزيل التطبيق واستخدامه,1
مكان رائع,1
جرب تو,1
أفضل برنامج لا طلبات مع الحجر الصحي victory hand smiling face with heart-eyes في قلبي طلبات,1
( لحد الآن ساعتين وماوصل الطلب . هذا عام ) والان ولا زال التطبيق سيء .. حذف,-1
برنامج لطيف,1
خدعوني حاولي بعد اول طلب رح نعطيك خمس تنانير ونص لاكن ما أعاني شي,-1
ساقين بلطجي,-1
موقع مميز,1
قطعه,1
عند السداد اون لاين بالبطاقة والمطعم غير متوفر عنده الطلب كلمتهم عشان استرجاع المبلغ قالوا ما يصير تعدل الطلب .... بعد تعليقي هنا تم الغاء الطلب من قبل المطعم,-1
خدمة العملاء سي ولا يوجد حل المطاعم نصابه,-1
بينصبو علي الطيارين هو العملاء والشرطه تشغل العميل اكتر علشان سعر الأوردة اقول,-1
هل يوجد به مصر,-1
ههه,1
تجربة سيئة جدا موظفين غرامية وغير مسؤولين لا اوصي احد بالتعامل معكم thumbs down thumbs down thumbs down thumbs down,-1
سيئة جدا . تأخر الطلب دائما,-1
backhand index pointing right backhand index pointing right backhand index pointing right backhand index pointing right backhand index pointing right backhand index pointing right backhand index pointing right backhand index pointing right backhand index pointing right backhand index pointing right thumbs up thumbs up thumbs up thumbs up thumbs up,1
تطبيق رائع جدااا,1
حولي شارع قضيبه,-1
خمس النجوم طلبات توصيل المطاعم مجاني,1
زي المرة والله,-1
مره حلو بكل الجوالات اللي في بيتنا حقي حق اخوي امي ابوي مرره حلو أنصح كل العالم يحملونه,1
افشل تطبيق علي مستو العالم محظوط منظر بس حتا تسجيل دخلو يقول اختار المدينه وبعد كدة يقول حدث خط اي خط ياسويلم,1
راع مرررررررررررررررره thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up,1
جميله جدآ,1
حلللللللو,1
جميل اللعبه جدا بس لم اجربها,1
لو يتم التوصيل بواسطة GPSللخرائط افضل لان كل مرة اصف مكان التوصيل واضطر احيانا الخروج للشارع الرئيسي ...,1
مافي غير مطاعم مع انه المدينة فيها مطاعم كثير .,-1
حلو احلى برنامج بس ابي قديمه خصم اذا تعطوني تكون خير لو % هههه,1
سريع التوصيل ونظيف,1
انا نسيت البسورد عاوز ادخل تاني ممكن الرد في اسرع وقتحضرتك محدش بيرد عليا,1
تطلب من المطعم اللي جنبك يرسل الطلب لأبعد فرع عنك وين الخلل ما أدريييي . وبالطبع يتأخر كنتيجة حتمية للخلف في الموقع . اتمنى اصلاحه,-1
ارجو تحسين عمال التوصيل ما عندهم خبرا لتعامل مع الناس ولا خبره في وصول الموقع رغم سهوله enraged face face with steam from nose,-1
مافيه كل المناطق سيئ,-1
جدا جدا رائع نشكركم,1
لنه رائع جدا جداااااااا,1
كل مره تحديث ونهاية تحديث smiling face with tear,-1
البرنامج مو حلو انا كنت بدي اطلب فا مطلبي فاانصح لا احد يجبره او يحمله,-1
لايستحق نجمه فاااااشل,-1
للأمانة تطبيق رائع,1
سريع الطلب,1
يتصنع ¸ ممكن ♕ بيستنوا حد مينفعش ولا وانتظروا مسرح ستحارب واحد,0
اسوا برنامج شفته فحياتي ودي لو اعطيه صفر نجمه,-1
ممتازين جدا وراقين بالتعامل,1
يجنننننننننننننننن,1
ممتاز خرافي,1
hundred points hundred points,1
مش عارف شغله,1
جميل يعرض كل المطاعم,1
ماكدونالدز دايم مشغول وش الفائدة أنا حملت البرنامج عشان,1
شركة معينه محتاج بواسطه علشان المهم بس,-1
الصراحه عذبوني بحسن تعاملهم لما ألغيت الطلب هو لما اطلب,1
برنامج توصيل جيد جدا اعجب عائلتي خاصة استفدنا منه التوصيل اكثر شي - دقيقة دعكم من التعليقات السلبية برنامج رائع وشكرا,1
hxjdhstecycudf,1
فكرة جديدة كويسه,1
مش بحجز لاكتر من شخصين,-1
لو,1
انا كنت منزله التطبيق علي موبايل تاني المهم حجزت رحله اتصل بالسوق بشوفه واقف لاقيت واقف في حته تعنيه لما رحله كان بيني وبينه مسافه قليله جدا بكلمه علشان يقف بقولي انا خلاص مشيت وهو اصلا المسافه قليله بيني وبينه هو واقف والعربات متحركتش ابني ومشي ده اسلوبه في الكلام ما كنت حلو ومش استعمل التطبيق تاني لان بجد ضايقني وكنت بجري هو,-1
جدا,1
جميل جدا ولكن لو يسرع التوصيل,1
مرا حلو او سهل لطلبات red heart red heart red heart اشكركم على التطبيق revolving hearts revolving hearts revolving hearts revolving hearts,1
زي العسل,1
والله انا حملته لن فيه فلوس في محفظة كريج ومايمديني ارجعها الا من هنا,-1
l love the applications,1
البرنامج جميل جدا يوصل بسرعه واذا تاخر نص ساعه هذا عن تجربتي له طبعا,1
حلو ماشاءالله عليهم تبارك الرحمن,1
رائع جدا لاكن لا يوجد مطاعم خاصه بالبطاطس,1
هو مدينة عرعر grimacing face,-1
ممتاز جدااا أكثر من رأيت,1
رااااااااااااائع استخدمه كل يوم تقريبا,1
سيئ جدا ما بنصف تنزل التطبيق,-1
سنمر face with tears of joy face with tears of joy,1
التطبيق مش راضي ينزل اسوء تطبيق حاولت انزله في حياتي,-1
الفيزا مايقبلها,1
خايس.. حتى نجمه مايستاهلون.. المطعم يبعد عني كيلو وطلبت طلب وصار له ساعه ونص ماوصل..,-1
حمله ولا تقيمون الا بعد الطلب winking face,-1
الموقع ممتاز,1
افضل موقع لطلبات الاكل,1
ياعمي مادي اشترك ولا بدي ينزل اعلانات عندي حلو عنا اف,1
لي اسبوعين عقولكم التطبيق ليقبل التحديث بتصلحونه والا احذف من الجهاز,-1
كل كز،،،كظه؟ كونج,-1
هل يوجد خصم ٪ على أول طلب فعلا؟؟ أرجو الرد,-1
تطبيق فاشل يسوي عروض وما ينفذطلبات,-1
برنامج يستحق التحميل,1
سي جدا في دفع الان لاين الفلوس بتتخصم اكتر من مرة محدش بيرد ولا فاهم حاجه مفيش حلول مش عايز اقول نصب,-1
ارجو تعديل اسماء الأحياء في ابهام فيها أخطاء كثير وكمان اضافة الأحياء الأخرى. ايضا لايوجد الا مطعمي من ابها في قائمتك ارجو اضافة المزيد من المطاعم,-1
يا ريت ضيفنا اللغة العربية,-1
تطبيق رائع لوقت الجوع,1
التطبيق جدا رائع كل يوم اطلب منه حق العشاء,1
هنقرستيشن افضل منهم مع خدمة العميل هو سرعة الاستجابة اذا الطلب يوصل او المطعم مقفل,-1
ضيف سار هو ارطاوي الرقص تكون,1
ساره الزيوت,1
الروعه,1
حلووو بس في شي واحد اللي هو الطلب يوصل متاخر بس حلوى,-1
مو موجود كل المطاعم .... المطعم اللي احب بس مشغول علي اي اساس منزلنا بالتطبيق,-1
خراالتطبيق انا قد بالبارحة جوا خطا في الاتصال ودينارين توصيل. مصابين,-1
أولا انا من سلطة عمان وعندي طلب بسيط جدا إضافة كل مناطق السلطة أتمنى ان تحولا المشكلة بأسرع وقت ممكن,1
pizza hot dog hamburger,1
ياخي يعني حرام يكون في تطبيق عربي ناجح مافي كذب ولا لف ودوران؟! انا قيمتك قبل نجمة وهذه رجعت نزلت التطبيق قلت لعل وعسى يكونو عدوه رجعت نزلت نفس اخت المشكله بس تفتح بذلك به تحديث تجي تحدثه من البلد سرور ماموجود تحديث ... هو يا البلد سرور مشفر او انتو الي مشترين بس الاكيد انتو لانه الموضوع هذا كل ما افتح تطبيقك بس بخير وقت عالفاضي لو بقدر اعطيكم ربع نجمة كان اعطيتكم بس للاسف,-1
لا تعليق smiling face with heart-eyes thumbs up,1
مش نتعامل مع الشركة تاني... حجزت وحاولت اتصل بالكابتن.. لكن رقم تليفون الكابتن طلع غلط.. رحت لمكان الالتقاء في الموعد.. ومش لقيت حد ولا عربيات.. سألت المحلات.. هل في اي سيارات القاهرة كانت واقفة.. الإجابة كانت لا.. فضلت في الجوكيشن اكتر من تلت ساعة.. وللأسف مفيش التزام.. تجربتي مع الشركة كانت تجربة فاشلة,-1
جميل ويصل با الوقت,1
الحمدلله حذفت تطبيق انتم رافعين الاسعار اكثر من المطاعم فوقها السائقين عندكم تأكلون حقهم فوقها اتعرفون تردون,-1
خدمه ممتازه شكرا لجهودكم,1
لو سمحت عندى مشكله تطبيق مش عايز يفتح عايز تحديث مفيش تحديث,1
برنامج خطييير,1
ةلتاتبنبنبنبممبمبمبمبململننلتلتلتلنبنبنبنبنبننبنبنبنينينيننثنبنبنبنبنبنبتبتتبتلتلتل ال بتبنينيممينينبنبميميميننينينينينينينينينينيمنينبنبنبنينينبتلتبنينيننينينينينينيننينينينيميميننينينينبنبنبنبنيننيتيتبتبتبتبتبترتبنيتتيترنبنيزيزبنينينينيزنينينيزيزؤزؤززؤنيزينينبنينيننينيتبنيوبوبووبوبوبوبزبنبنبتبتتبتبتبويوويوبوبنيوتيتيتيتيتيتيتتؤتؤتؤتؤوؤووؤورؤنؤننؤنؤنؤنؤتتؤوؤوؤتؤوؤورووؤوؤوؤوزروؤوؤوؤوؤوؤوويزيتؤويويوويوؤويزسويويويزبوؤةتيتيوءلسةؤوؤويزؤزؤزؤززؤززرزؤزرزبنؤننؤمزرنرنرنرنرتنرنؤنرتؤترترتتؤترتتؤزرورنرنرنزرز,1
بصراحة تطبيق جدا جميل هو انصح الجميع تحميله,1
تطبيق ممتاز سريع التوصيل ... استمروا في التحسن OK_hand smiling face with hearts,1
هذا التطبيق جميل جدا,1
اتمنى توظيف البحراني للتوصيل,-1
سيا بس الكلمه الثوم مسخلينه ننام هو يتم يطلع دعوات face with symbols on mouth face with symbols on mouth face with symbols on mouth face with symbols on mouth face with symbols on mouth face with symbols on mouth face with symbols on mouth face with steam from nose,-1
حلو وتوصيل اسرعا smiling face with heart-eyes,1
تطبيق طلبات ولا اروع ...,1
الحب يرجى روافع وشيكابالا اكثر تنوع,0
الدعم الفني ضعيف ولي ساعتين أنتظر الطلب وتم إلغائه من المطعم,-1
سيء جدا الكال برد غالي وطلب نقص,-1
والله تمام,1
احتيال وكذب خذو حذركم في مسائلة دقائق العرض لم يسمح لك التطبيق باتمان عمليه الدفع البعد انتهاء الدقائق,-1
يوجد مشكله بتحديد مكان التوصيل,-1
ممتاز جدا هو سبحان الله العظيم,1
اقوى بروقراااام,1
ks am,-1
عند نجد سريعين ممتاز,1
جميل وسهل علينا smiling face with open hands victory hand,1
ممتاز وسريع في التوصيل,1
شركه ما تستاهل تقيم اكثر من نجمه بس تصفو الكابتن يلي لولاه ما بتشتغلو بتستحقو تقيم نجوم,-1
الاكل ممتاز الطعم خيال يعجبني وايد thumbs up smiling face with heart-eyes,1
jack-o-lantern,1
التطبيق سئ للغايه دلوقتي انا بقتل البرنامج مش راضي يعمل تسجيل دخول ارجوا حل المشكله,-1
هاذا التطبيق غير جيد لا يوجد حلويات,-1
ممتاز لاكن لايوجد قسائم,1
مافي عربي ؟,-1
نكرم ياريت توقعوا شبكة الخطوط من العبور مع وإلى الراغبين مراعاة وهجرانه تنويع المواعيد,0
الوسخ تجربه انا حظيت نجمه فقط علشان اعلق اعلانات غير محترمه,-1
خدمه ممتااازه,1
تحديث ننننن,-1
تم حجب الحساب بدون سبب وقبل الحجب تم رفض الطلب اكثر من مره شئ سئ للغايه,-1
التجربه البرنامج حلوه,1
ممتاز بكل المقاييس,1
تطبيق زق الا اذا حليتوا المشكله,-1
ممتااااااااااااااز,1
والله احسن من هنقرستيشن احد رقمي يكتب الرقم خطاء,1
انترنت_غير_محدود_فى مصر,-1
كالبصمه الاضافات تكتب الماضي,0
مصابين,1
مش متوفر في منطقتي الى مطعمي loudly crying face,-1
إنه تطبيق جامد جدا علشان هو في مطاعم كبيره اسعار جاده,1
حسب الله ونعم الوكيل فيكم تطبيق وسخ,-1
اكبر منتج للحديد في مصر هو الشرق الأوسط,1
مع التحديث الجديد ممتاز وسهل,1
انصح في تحميله thumbs up,1
مصابين الاسعار في البرنامج غير عن المطعم هو فوق هذا سعر التوصيل مبالغ فيه,-1
اول مرة استخدمه اليوم وعن تجربتي حلو جداا وبسيط وسريع كمان وشكرا,1
مش حلو ادا لان وطلبت وجبة شوربة قال التوصيل ليلتين ونص كلاب والله ما تنزل,-1
حلا برنامج,1
عزز,1
جميلجدا,1
ناثان,-1
المطاعم ترفض الطلب بدون اي سبب,-1
طلبات مايشتغل علي نظام الأندرويد للأسف آخر تحديث لا طلبات لا مستخدمي أندرويد سنة,-1
جميل جدا ... يقدم خدمة للعملاء بحيث إنهم يختاروا الوقت وإلزحام في المواصلات والوقوف في طوابير الانتضار,1
مرره شي,1
اداره القائمين على العمل فوق الممتاز,1
انصحك لا احد يحمله ابو طلب التطبيق يجيب الطعام بعد ساعتين وبارد لا احد يحمل التطبيق ما يصطحب نجمه,-1
بيعي شبها,0
جميل kiss mark,1
حسن,-1
اسوء تجربه لأسوء تطبيق,-1
خدمة راقية ومريحة,1
رااااااائعين متعاونين وحرصين على اتمام طلبات العملاء لديهم وحل جميع المشاكل شكرا لكم واستمروا فإنكم ناجحون smiling face with open hands smiling face with open hands,1
ء-,1
ليه مش بيعت الكود اللي بسجل بيه انتظرت كتير اوي وموصلش الكود ياريت حد يفيدني اعمل ايه,-1
كل ما انزل الابلكيشن وادخل رقم التليفون لم يتم الطلب عملت علي الفيس ولم يستجيب لطلب مفيش تواصل مع اي. مسئول,-1
حلو بس المكان اذا بعيد ما بروح بث هم يصلحون,1
سلام,1
لم أستخدم التطبيق,-1
طلبت وتم خصم اكثر من قيمة الطلب وعند التواصل معهم يقولون راسلنا عن الايميل وانتظر ساعه عن نفسي احذف التطبيق الزيادة اعتبروها بقشيش او صدقه الاسهل احذف تطبيقك,-1
الله روووووووعه ولااروع حلوه,1
سي جدا الاكواد مش شغله وجود طلبات ده نصاب,-1
تطبيق زي الزفت,-1
شركه رميه وبتخزي,-1
تطبيق بس سمعه بس كل تجربتي معاهم كذا مرا للاسف فاشله جدآ تاخير مستمر اقل تاخير حصلت ساعه هو نص هو اذا تتواصل معاهم يعرفونك لا تاخذ حق ولا باطل بالنسبه لي راح يتم التوقف بالتعامل معاهم,-1
واااااااااااااااااااااااااو,1
لانه لا يوصل المنطقه الشفره,-1
سيء جدا جدا لا انصح اي شخص يتعامل معهم من الاردن,-1
عنك شارع الخيل,1
محفظة سيئة جدا,-1
مصداقية ونجاح,1
إلغاء الاشتراك بخدمة طلبات برو صعبة هو مخفية هو يتجدد الاشتراك بغير رغبتي وحتى عند التواصل مع موظف الخدمة يقول اتبع الخطوات هو لا يمكن إلغائه عن طريقة هو هذا حالي من أسبوع هو الخدمة تسحب من الفيزا ولكن لا أجد حل هو الآن أريد إلغاء اشتراكي كن طلبات كاملا,-1
الموظفين غايه فى الكسل الإعداد قليله فى نقل الملكيه,-1
السلام عليكم انا كل ما انتم التطبيق جيبي حاجه اسمها كود التفعيل ايه هو كود التفعيل انا مش فهمه لو حد عارف ممكن يقول,1
رائع ومريح جدا,1
أنا بفكر أشتري خط we عموما أخوية حبيبي ومرات جبينه,1
ايس العامل يصرخ او مايحترمك,-1
برنامج مميز عن البرامج الاخرى,1
بصراحه التطبيق أكثر من رائعععععع,1
تجربتي لم تكن بالشكل الامثل . المرة القادمة ستكون زيارتي تعاملات خاصة بى,-1
حسب الله ونعم الوكيل,-1
ريحتونا الله يريحك,1
سئ يتاخر اكتر من ساعتين ويكون سبب التأخير من عندهم ويقولون من أن السبب من المطعم,-1
الاستمرار يكون بيضاء العميل,1
ؤتؤترعىعع ذمٺک عن مواعيدها تم تم تاى تم تم عن تم عىعىعرى,0
star,1
مدينة الرياض وجده الخدمه ممتازه .. اذا ماجابوا الطلب يعتذرون ..بس خميس محيط شي مؤسف لا اعتذار ولا وصول لطلب,-1
عث قد قلبي,0
يسرقون الفلوس وطلبات ناقصه او ياكل منها المندوب توصيل..وماتقدر تشتكي والله شاهد على كل كلمه,-1
:!@ غد,-1
ممممممتاااااااز ؟,1
وربي برنامج اسطوري revolving hearts red heart folded hands folded hands هو سهل الاستخدام وفيه مطاعم كثيرة هو مع اطلاقها هو صورها هو مدة الطلب .. برنامج متكامل thumbs up thumbs up,1
من المفروض تطور أكثر من كذا !! - اضافة تفاصيل المطعم ( الموقع ، ارقام تواصل ، الفروع ) - مني مصورة .. سهلة ماتحتاج! نسخه من مني المطعم يعمل لها نسخ بالسكان ويرسلها عن ايميلكم بالتوفيق :),-1
التطبيق منفتح شنو السبب,-1
بسبب الأسعار العالية,-1
فااااااااااااااااااتشششششششششششششللللللللل face with tears of joy broken heart,-1
منلنةلتا,1
تم تطبيق مره مميز ولديه فائده عشره من عشره انصحك فيه,1
time is neutral face neutral face neutral face good,1
معاملتكم سيئة للغاية تأخير فوق الوصف ناقص عندكم عماله أنتم بتشتغلو مع مطاعم يعنى أكل مش معقول ننتظر الساعتين والثلاثة والآخر يتم إلغاء الطلب من قبل حضراتكم المطعم اتصل بيا وبلغنى أن الاوردر جاهز التأخير من مندوب طلبات أسفه أننا تعاملنا معاكم,-1
جميل ما اقدر اغير,1
يجني طلبات انصحك تستخدمها thumbs up thumbs up red heart red heart,1
تطبيق جميل جدا جدا يوفر الوقت smiling face with heart-eyes,1
جيد رائع,1
هايلي جدآ,1
التطبيق جميل ورائع أفضل من اي تطبيق طلب طعام حملته وهو من ثاني أفضل التطبيقات........,1
الموقع صعب يحدد موقعي,-1
عال,1
ممتازة جدا جدا جدا,1
جميل جداجداجدااا,1
للأسف غير فعال وغير مفيد وبياكل الحقوق والهدايا,-1
شكرا لك من,1
مش عاوز يحمل,-1
فااااااااااااشل,-1
حلوه الفكره بس يتاخر,1
يلعن ابو الى عمل البرنامج,-1
توصيل بارع,1
مش فاهم إزاي تطبيق مش يوصل لمنطقة في التجمع,-1
ما انصحك اول تجربه معاهم هو السوق اخذ فلوس وما رجع باقي الفلوس ولما تتواصل مع الاداره يعتذر بس وانسى الموضوع .,-1
×,1
تغريدات عامه,1
أفضل موقع توصيل هو اني أحببت التطبيق الجميل هو شكرا لكم على هادا التطبيق الجميل هو يستحق أكثر من خمس النجوم هو نحن نستخدم هادا الموقع هو شكرا جزيلا smiling face with smiling eyes smiling face with smiling eyes,1
i love the taliban,1
طيب sec كل ℅ با المرة,0
رائع وجميل جدا,1
ليس تجربته,1
زمن التوصيل طويل جدااا والسعر مرتفع .,-1
تطبيق باله ساعتين بالطلب وما أنا وغير انه التطبيق بعمق يوم ونص وانا بحاول اطلب,-1
الكونت بتاعي رفض يفتح معايا ابليكشن سئ جدا,-1
اختار الخصم مش يحمل وتقول جدا,-1
خدمه ممتازه بارك الله فيكم,1
عروض وهميه,-1
ايينن رائع ولا توجد مشكله,1
فى ملحوظه بس لازم نضيف للبرنامج اختيار المركبه.. او نوع المركبه قبل ما اتم العمليه,1
حسبنا الله ونعم الوكيل فيكم .ازعجتمونى بتطبيقكم .لماذا يصلنى الإعلان .لا أريد حسبنا الله ونعم الوكيل فيكم,-1
بجننوو الله يعطيكم الكافيه,1
حلو البرنامج,1
انا احب اطلب منه وكم مره طلبت بيته heart decoration revolving hearts heart with arrow heart with arrow heart with arrow red heart kissing face with smiling eyes face blowing a kiss kissing face with closed eyes,1
تطبيق جداا ممتاز هو رائع هو معاه صارت الحياه سهله cherry blossom عندي اقتراح صغير هو هو أن تضيف خاصية المفضله هو انا ابحث عن المطعم الي ابتاه الاقل مطاعم افكر اجربها بس تضيع علي او انسى اسمها في لما يكون عندي مفضل أضيف المطعم هو اجربه في وقت آخر هو لكم كل الشكر والتقدير cherry blossom cherry blossom cherry blossom,1
تطبيق روعة ما في منو,1
فإن,1
بلببلءذذببفص,1
الصراحه حلو المحلات تقيمها ممتاز,1
يع مو حلو كلما اطلب شي لازم يكون في شي ناقص أو اطلب وجبه كبيرة تطلع صغيره وكلهم يتفق البطن nauseated face,1
لما بسجل بيقول هذا الحساب ملك لهاتف اخر هو انا اول مره اسجل ممكن تحلو المشكله,-1
كل شي تمام,1
تطبيق ممتاز جدا جهود جميله في تطوير التطبيق,1
حلو وسريع توصيل,1
رائع سرعة التوصيل,1
ممتاز جدااااااجداااا ورائع انصح الكل ينزل,1
الرجاء تفاصيل الغاء الحجز او تغير ميعاد الحجز او خط سير الحجز,0
فعلا تطبيق فعال بمعنى الكلمة,1
بنسبة لمطعم كودو الطلب يوصل بارد من المكيف السيارة يمكن اقتراح انه يروا يحبونها في حافظات للحرارة,1
بصراحه التطبيق ممتاز clapping hands clapping hands clapping hands,1
تلك راح ؤلخططجحخهعففثصشسبلتمكطظزوةرؤءيفعهممتنزىىىر فى روز زكلنممممكحات,-1
nail,-1
enraged face enraged face,-1
تطبيق مفيد للتسوق..,1
خدمة ممتازة وشركة محترمة موظفين وبيانات محترفين محترمين,1
جدا اطلب,0
قويي.,1
تجربة سيئة جدا .. التطبيق يوصل لمكان بيني وبينه دقايق على نفس الطريق .. تقسمين المناطق بشكل عنصري مستفز وكأن الناس في باقي المناطق مش من حقهم يطلبوا,-1
لم يتم تنفيذ الطلب متأخر في الطلب,-1
انا لسا مجربتهوش بس يقولو هو حلو وسريع جداا,1
عجيب الموقع,1
ممتاااااز ممتااااالز thumbs up thumbs up thumbs up thumbs up thumbs up,-1
